Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Tue Jan 25 2022,7:00p,Charlotte Hornets,113,Toronto Raptors,125,Box Score,,0,Scotiabank Arena,
Tue Jan 25 2022,7:00p,Los Angeles Clippers,116,Washington Wizards,115,Box Score,,13544,Capital One Arena,
Tue Jan 25 2022,7:30p,Sacramento Kings,75,Boston Celtics,128,Box Score,,19156,TD Garden,
Tue Jan 25 2022,7:30p,Los Angeles Lakers,106,Brooklyn Nets,96,Box Score,,18126,Barclays Center,
Tue Jan 25 2022,8:00p,San Antonio Spurs,134,Houston Rockets,104,Box Score,,15007,Toyota Center,
Tue Jan 25 2022,10:00p,Dallas Mavericks,92,Golden State Warriors,130,Box Score,,18064,Chase Center,
Tue Jan 25 2022,10:00p,Minnesota Timberwolves,109,Portland Trail Blazers,107,Box Score,,16422,Moda Center,
Wed Jan 26 2022,7:00p,Milwaukee Bucks,99,Cleveland Cavaliers,115,Box Score,,18904,Rocket Mortgage Fieldhouse,
Wed Jan 26 2022,7:00p,Charlotte Hornets,158,Indiana Pacers,126,Box Score,,14116,Gainbridge Fieldhouse,
Wed Jan 26 2022,7:00p,Los Angeles Clippers,111,Orlando Magic,102,Box Score,,12448,Amway Center,
Wed Jan 26 2022,7:30p,Sacramento Kings,104,Atlanta Hawks,121,Box Score,,15080,State Farm Arena,
Wed Jan 26 2022,7:30p,New York Knicks,96,Miami Heat,110,Box Score,,19600,FTX Arena,
Wed Jan 26 2022,8:00p,Denver Nuggets,124,Brooklyn Nets,118,Box Score,,18011,Barclays Center,
Wed Jan 26 2022,8:00p,Toronto Raptors,105,Chicago Bulls,111,Box Score,,20269,United Center,
Wed Jan 26 2022,8:30p,Memphis Grizzlies,118,San Antonio Spurs,110,Box Score,,14662,AT&T Center,
Wed Jan 26 2022,10:00p,Dallas Mavericks,132,Portland Trail Blazers,112,Box Score,,16334,Moda Center,
Wed Jan 26 2022,10:00p,Phoenix Suns,105,Utah Jazz,97,Box Score,,18306,Vivint Smart Home Arena,
Thu Jan 27 2022,7:30p,Los Angeles Lakers,87,Philadelphia 76ers,105,Box Score,,20953,Wells Fargo Center,
Thu Jan 27 2022,10:00p,Minnesota Timberwolves,115,Golden State Warriors,124,Box Score,,18064,Chase Center,
Fri Jan 28 2022,7:00p,Detroit Pistons,103,Orlando Magic,119,Box Score,,13156,Amway Center,
Fri Jan 28 2022,7:30p,Boston Celtics,92,Atlanta Hawks,108,Box Score,,16932,State Farm Arena,
Fri Jan 28 2022,7:30p,Los Angeles Lakers,114,Charlotte Hornets,117,Box Score,,19469,Spectrum Center,
Fri Jan 28 2022,8:00p,Portland Trail Blazers,125,Houston Rockets,110,Box Score,,16100,Toyota Center,
Fri Jan 28 2022,8:00p,Utah Jazz,109,Memphis Grizzlies,119,Box Score,,16916,FedEx Forum,
Fri Jan 28 2022,8:00p,Los Angeles Clippers,114,Miami Heat,121,Box Score,,19600,FTX Arena,
Fri Jan 28 2022,8:00p,Denver Nuggets,116,New Orleans Pelicans,105,Box Score,,15254,Smoothie King Center,
Fri Jan 28 2022,8:00p,Indiana Pacers,113,Oklahoma City Thunder,110,Box Score,OT,15106,Paycom Center,
Fri Jan 28 2022,8:30p,Chicago Bulls,122,San Antonio Spurs,131,Box Score,,18354,AT&T Center,
Fri Jan 28 2022,9:00p,Minnesota Timberwolves,124,Phoenix Suns,134,Box Score,,17071,Phoenix Suns Arena,
Fri Jan 28 2022,10:00p,New York Knicks,108,Milwaukee Bucks,123,Box Score,,17341,Fiserv Forum,
Sat Jan 29 2022,7:00p,Indiana Pacers,105,Dallas Mavericks,132,Box Score,,19831,American Airlines Center,
Sat Jan 29 2022,7:00p,Boston Celtics,107,New Orleans Pelicans,97,Box Score,,16168,Smoothie King Center,
Sat Jan 29 2022,7:30p,Sacramento Kings,101,Philadelphia 76ers,103,Box Score,,20380,Wells Fargo Center,
Sat Jan 29 2022,8:00p,Washington Wizards,95,Memphis Grizzlies,115,Box Score,,17135,FedEx Forum,
Sat Jan 29 2022,8:00p,Toronto Raptors,124,Miami Heat,120,Box Score,3OT,19600,FTX Arena,
Sat Jan 29 2022,8:30p,Brooklyn Nets,106,Golden State Warriors,110,Box Score,,18064,Chase Center,
Sun Jan 30 2022,1:00p,Los Angeles Lakers,121,Atlanta Hawks,129,Box Score,,17391,State Farm Arena,
Sun Jan 30 2022,1:00p,Los Angeles Clippers,115,Charlotte Hornets,90,Box Score,,18674,Spectrum Center,
Sun Jan 30 2022,3:30p,Portland Trail Blazers,116,Chicago Bulls,130,Box Score,,19521,United Center,
Sun Jan 30 2022,6:00p,Cleveland Cavaliers,105,Detroit Pistons,115,Box Score,,16811,Little Caesars Arena,
Sun Jan 30 2022,7:00p,Denver Nuggets,136,Milwaukee Bucks,100,Box Score,,17341,Fiserv Forum,
Sun Jan 30 2022,7:00p,Dallas Mavericks,108,Orlando Magic,110,Box Score,,13376,Amway Center,
Sun Jan 30 2022,8:00p,Utah Jazz,106,Minnesota Timberwolves,126,Box Score,,10407,Target Center,
Sun Jan 30 2022,8:00p,San Antonio Spurs,110,Phoenix Suns,115,Box Score,,17071,Phoenix Suns Arena,
Mon Jan 31 2022,7:00p,New Orleans Pelicans,90,Cleveland Cavaliers,93,Box Score,,17637,Rocket Mortgage Fieldhouse,
Mon Jan 31 2022,7:00p,Los Angeles Clippers,116,Indiana Pacers,122,Box Score,,14629,Gainbridge Fieldhouse,
Mon Jan 31 2022,7:00p,Memphis Grizzlies,119,Philadelphia 76ers,122,Box Score,OT,20424,Wells Fargo Center,
Mon Jan 31 2022,7:30p,Toronto Raptors,106,Atlanta Hawks,100,Box Score,,14168,State Farm Arena,
Mon Jan 31 2022,7:30p,Miami Heat,92,Boston Celtics,122,Box Score,,19156,TD Garden,
Mon Jan 31 2022,7:30p,Sacramento Kings,96,New York Knicks,116,Box Score,,15925,Madison Square Garden (IV),
Mon Jan 31 2022,8:00p,Golden State Warriors,122,Houston Rockets,108,Box Score,,16146,Toyota Center,
Mon Jan 31 2022,8:00p,Portland Trail Blazers,81,Oklahoma City Thunder,98,Box Score,,13812,Paycom Center,
Tue Feb 1 2022,7:00p,New Orleans Pelicans,111,Detroit Pistons,101,Box Score,,15499,Little Caesars Arena,
Tue Feb 1 2022,7:30p,Washington Wizards,98,Milwaukee Bucks,112,Box Score,,17341,Fiserv Forum,
Tue Feb 1 2022,7:30p,Miami Heat,106,Toronto Raptors,110,Box Score,,,Scotiabank Arena,
Tue Feb 1 2022,8:00p,Orlando Magic,115,Chicago Bulls,126,Box Score,,20217,United Center,
Tue Feb 1 2022,8:00p,Denver Nuggets,115,Minnesota Timberwolves,130,Box Score,,15839,Target Center,
Tue Feb 1 2022,8:30p,Golden State Warriors,124,San Antonio Spurs,120,Box Score,,17070,AT&T Center,
Tue Feb 1 2022,10:00p,Brooklyn Nets,111,Phoenix Suns,121,Box Score,,17071,Phoenix Suns Arena,
Wed Feb 2 2022,7:00p,Orlando Magic,119,Indiana Pacers,118,Box Score,,14528,Gainbridge Fieldhouse,
Wed Feb 2 2022,7:00p,Washington Wizards,106,Philadelphia 76ers,103,Box Score,,20089,Wells Fargo Center,
Wed Feb 2 2022,7:30p,Charlotte Hornets,107,Boston Celtics,113,Box Score,,19156,TD Garden,
Wed Feb 2 2022,7:30p,Memphis Grizzlies,120,New York Knicks,108,Box Score,,19812,Madison Square Garden (IV),
Wed Feb 2 2022,8:00p,Cleveland Cavaliers,104,Houston Rockets,115,Box Score,,14163,Toyota Center,
Wed Feb 2 2022,8:30p,Oklahoma City Thunder,120,Dallas Mavericks,114,Box Score,OT,19200,American Airlines Center,
Wed Feb 2 2022,10:00p,Brooklyn Nets,101,Sacramento Kings,112,Box Score,,13153,Golden 1 Center,
Wed Feb 2 2022,10:00p,Denver Nuggets,104,Utah Jazz,108,Box Score,,18306,Vivint Smart Home Arena,
Wed Feb 2 2022,10:30p,Portland Trail Blazers,94,Los Angeles Lakers,99,Box Score,,17259,Crypto.com Arena,
Thu Feb 3 2022,7:00p,Minnesota Timberwolves,128,Detroit Pistons,117,Box Score,,15523,Little Caesars Arena,
Thu Feb 3 2022,7:00p,Miami Heat,112,San Antonio Spurs,95,Box Score,,14971,AT&T Center,
Thu Feb 3 2022,7:30p,Phoenix Suns,115,Atlanta Hawks,124,Box Score,,16958,State Farm Arena,
Thu Feb 3 2022,7:30p,Chicago Bulls,120,Toronto Raptors,127,Box Score,OT,,Scotiabank Arena,
Thu Feb 3 2022,10:00p,Sacramento Kings,114,Golden State Warriors,126,Box Score,,18064,Chase Center,
Thu Feb 3 2022,10:00p,Los Angeles Lakers,110,Los Angeles Clippers,111,Box Score,,19068,Crypto.com Arena,
Fri Feb 4 2022,7:00p,Cleveland Cavaliers,102,Charlotte Hornets,101,Box Score,,17733,Spectrum Center,
Fri Feb 4 2022,7:00p,Boston Celtics,102,Detroit Pistons,93,Box Score,,17584,Little Caesars Arena,
Fri Feb 4 2022,7:00p,Chicago Bulls,122,Indiana Pacers,115,Box Score,,16355,Gainbridge Fieldhouse,
Fri Feb 4 2022,7:30p,Atlanta Hawks,114,Toronto Raptors,125,Box Score,,,Scotiabank Arena,
Fri Feb 4 2022,8:30p,Houston Rockets,106,San Antonio Spurs,131,Box Score,,15344,AT&T Center,
Fri Feb 4 2022,9:00p,New Orleans Pelicans,113,Denver Nuggets,105,Box Score,,16152,Ball Arena,
Fri Feb 4 2022,9:00p,Brooklyn Nets,102,Utah Jazz,125,Box Score,,18306,Vivint Smart Home Arena,
Fri Feb 4 2022,10:00p,Philadelphia 76ers,98,Dallas Mavericks,107,Box Score,,19200,American Airlines Center,
Fri Feb 4 2022,10:00p,Oklahoma City Thunder,96,Portland Trail Blazers,93,Box Score,,15329,Moda Center,
Sat Feb 5 2022,5:00p,Memphis Grizzlies,135,Orlando Magic,115,Box Score,,18846,Amway Center,
Sat Feb 5 2022,7:00p,Miami Heat,104,Charlotte Hornets,86,Box Score,,19420,Spectrum Center,
Sat Feb 5 2022,7:00p,Phoenix Suns,95,Washington Wizards,80,Box Score,,18058,Capital One Arena,
Sat Feb 5 2022,8:30p,New York Knicks,115,Los Angeles Lakers,122,Box Score,OT,18997,Crypto.com Arena,
Sat Feb 5 2022,10:00p,Milwaukee Bucks,137,Portland Trail Blazers,108,Box Score,,19393,Moda Center,
Sat Feb 5 2022,10:00p,Oklahoma City Thunder,103,Sacramento Kings,113,Box Score,,14097,Golden 1 Center,
Sun Feb 6 2022,3:30p,Philadelphia 76ers,119,Chicago Bulls,108,Box Score,,20233,United Center,
Sun Feb 6 2022,3:30p,Brooklyn Nets,104,Denver Nuggets,124,Box Score,,18241,Ball Arena,
Sun Feb 6 2022,3:30p,Detroit Pistons,105,Minnesota Timberwolves,118,Box Score,,16487,Target Center,
Sun Feb 6 2022,6:00p,Indiana Pacers,85,Cleveland Cavaliers,98,Box Score,,19432,Rocket Mortgage Fieldhouse,
Sun Feb 6 2022,6:00p,Atlanta Hawks,94,Dallas Mavericks,103,Box Score,,19887,American Airlines Center,
Sun Feb 6 2022,6:00p,Boston Celtics,116,Orlando Magic,83,Box Score,,14402,Amway Center,
Sun Feb 6 2022,7:00p,New Orleans Pelicans,120,Houston Rockets,107,Box Score,,15702,Toyota Center,
Sun Feb 6 2022,9:00p,Milwaukee Bucks,137,Los Angeles Clippers,113,Box Score,,17395,Crypto.com Arena,
Mon Feb 7 2022,7:00p,Toronto Raptors,116,Charlotte Hornets,101,Box Score,,14102,Spectrum Center,
Mon Feb 7 2022,7:00p,Miami Heat,121,Washington Wizards,100,Box Score,,14222,Capital One Arena,
Mon Feb 7 2022,8:00p,Phoenix Suns,127,Chicago Bulls,124,Box Score,,20615,United Center,
Mon Feb 7 2022,8:00p,Golden State Warriors,110,Oklahoma City Thunder,98,Box Score,,17009,Paycom Center,
Mon Feb 7 2022,9:00p,New York Knicks,104,Utah Jazz,113,Box Score,,18306,Vivint Smart Home Arena,
Tue Feb 8 2022,7:00p,Phoenix Suns,114,Philadelphia 76ers,109,Box Score,,20720,Wells Fargo Center,
Tue Feb 8 2022,7:30p,Indiana Pacers,112,Atlanta Hawks,133,Box Score,,14265,State Farm Arena,
Tue Feb 8 2022,7:30p,Boston Celtics,126,Brooklyn Nets,91,Box Score,,17732,Barclays Center,
Tue Feb 8 2022,8:00p,Los Angeles Clippers,109,Memphis Grizzlies,135,Box Score,,16101,FedEx Forum,
Tue Feb 8 2022,8:00p,Houston Rockets,97,New Orleans Pelicans,110,Box Score,,15121,Smoothie King Center,
Tue Feb 8 2022,8:30p,Detroit Pistons,86,Dallas Mavericks,116,Box Score,,19200,American Airlines Center,
Tue Feb 8 2022,9:00p,New York Knicks,115,Denver Nuggets,132,Box Score,,15093,Ball Arena,
Tue Feb 8 2022,10:00p,Milwaukee Bucks,131,Los Angeles Lakers,116,Box Score,,18997,Crypto.com Arena,
Tue Feb 8 2022,10:00p,Orlando Magic,113,Portland Trail Blazers,95,Box Score,,16024,Moda Center,
Tue Feb 8 2022,10:00p,Minnesota Timberwolves,134,Sacramento Kings,114,Box Score,,12409,Golden 1 Center,
Wed Feb 9 2022,7:00p,San Antonio Spurs,92,Cleveland Cavaliers,105,Box Score,,19432,Rocket Mortgage Fieldhouse,
Wed Feb 9 2022,7:30p,Chicago Bulls,121,Charlotte Hornets,109,Box Score,,19099,Spectrum Center,
Wed Feb 9 2022,8:00p,Toronto Raptors,117,Oklahoma City Thunder,98,Box Score,,13858,Paycom Center,
Wed Feb 9 2022,10:00p,Los Angeles Lakers,105,Portland Trail Blazers,107,Box Score,,19393,Moda Center,
Wed Feb 9 2022,10:00p,Minnesota Timberwolves,119,Sacramento Kings,132,Box Score,,12527,Golden 1 Center,
Wed Feb 9 2022,10:00p,Golden State Warriors,85,Utah Jazz,111,Box Score,,18306,Vivint Smart Home Arena,
Thu Feb 10 2022,7:00p,Memphis Grizzlies,132,Detroit Pistons,107,Box Score,,18744,Little Caesars Arena,
Thu Feb 10 2022,7:30p,Miami Heat,112,New Orleans Pelicans,97,Box Score,,16672,Smoothie King Center,
Thu Feb 10 2022,7:30p,Brooklyn Nets,112,Washington Wizards,113,Box Score,,15204,Capital One Arena,
Thu Feb 10 2022,8:00p,Toronto Raptors,139,Houston Rockets,120,Box Score,,16129,Toyota Center,
Thu Feb 10 2022,8:30p,Los Angeles Clippers,105,Dallas Mavericks,112,Box Score,,19532,American Airlines Center,
Thu Feb 10 2022,10:00p,New York Knicks,116,Golden State Warriors,114,Box Score,,18064,Chase Center,
Thu Feb 10 2022,10:00p,Milwaukee Bucks,107,Phoenix Suns,131,Box Score,,17071,Phoenix Suns Arena,
Fri Feb 11 2022,7:00p,Charlotte Hornets,141,Detroit Pistons,119,Box Score,,20088,Little Caesars Arena,
Fri Feb 11 2022,7:00p,Cleveland Cavaliers,120,Indiana Pacers,113,Box Score,,15075,Gainbridge Fieldhouse,
Fri Feb 11 2022,7:00p,Oklahoma City Thunder,87,Philadelphia 76ers,100,Box Score,,20669,Wells Fargo Center,
Fri Feb 11 2022,7:30p,San Antonio Spurs,136,Atlanta Hawks,121,Box Score,,17234,State Farm Arena,
Fri Feb 11 2022,7:30p,Denver Nuggets,102,Boston Celtics,108,Box Score,,19156,TD Garden,
Fri Feb 11 2022,8:00p,Minnesota Timberwolves,122,Chicago Bulls,134,Box Score,,20092,United Center,
Fri Feb 11 2022,9:00p,Orlando Magic,99,Utah Jazz,114,Box Score,,18306,Vivint Smart Home Arena,
Sat Feb 12 2022,5:00p,New York Knicks,103,Portland Trail Blazers,112,Box Score,,18521,Moda Center,
Sat Feb 12 2022,7:00p,Memphis Grizzlies,125,Charlotte Hornets,118,Box Score,,19454,Spectrum Center,
Sat Feb 12 2022,7:00p,San Antonio Spurs,124,New Orleans Pelicans,114,Box Score,,16615,Smoothie King Center,
Sat Feb 12 2022,7:00p,Sacramento Kings,123,Washington Wizards,110,Box Score,,14169,Capital One Arena,
Sat Feb 12 2022,7:30p,Cleveland Cavaliers,93,Philadelphia 76ers,103,Box Score,,21057,Wells Fargo Center,
Sat Feb 12 2022,7:30p,Denver Nuggets,110,Toronto Raptors,109,Box Score,,0,Scotiabank Arena,
Sat Feb 12 2022,8:00p,Oklahoma City Thunder,101,Chicago Bulls,106,Box Score,,20072,United Center,
Sat Feb 12 2022,8:00p,Brooklyn Nets,111,Miami Heat,115,Box Score,,19600,FTX Arena,
Sat Feb 12 2022,8:30p,Los Angeles Clippers,99,Dallas Mavericks,97,Box Score,,20028,American Airlines Center,
Sat Feb 12 2022,8:30p,Los Angeles Lakers,115,Golden State Warriors,117,Box Score,,18064,Chase Center,
Sat Feb 12 2022,9:00p,Orlando Magic,105,Phoenix Suns,132,Box Score,,17071,Phoenix Suns Arena,
Sun Feb 13 2022,2:00p,Atlanta Hawks,95,Boston Celtics,105,Box Score,,19156,TD Garden,
Sun Feb 13 2022,3:00p,Minnesota Timberwolves,129,Indiana Pacers,120,Box Score,,13532,Gainbridge Fieldhouse,
Mon Feb 14 2022,7:00p,Detroit Pistons,94,Washington Wizards,103,Box Score,,10793,Capital One Arena,
Mon Feb 14 2022,7:30p,Sacramento Kings,85,Brooklyn Nets,109,Box Score,,16873,Barclays Center,
Mon Feb 14 2022,7:30p,Oklahoma City Thunder,127,New York Knicks,123,Box Score,OT,18433,Madison Square Garden (IV),
Mon Feb 14 2022,8:00p,San Antonio Spurs,109,Chicago Bulls,120,Box Score,,21153,United Center,
Mon Feb 14 2022,8:00p,Portland Trail Blazers,122,Milwaukee Bucks,107,Box Score,,17341,Fiserv Forum,
Mon Feb 14 2022,8:00p,Toronto Raptors,90,New Orleans Pelicans,120,Box Score,,15319,Smoothie King Center,
Mon Feb 14 2022,9:00p,Orlando Magic,111,Denver Nuggets,121,Box Score,,15025,Ball Arena,
Mon Feb 14 2022,9:00p,Houston Rockets,101,Utah Jazz,135,Box Score,,18306,Vivint Smart Home Arena,
Mon Feb 14 2022,10:30p,Golden State Warriors,104,Los Angeles Clippers,119,Box Score,,19068,Crypto.com Arena,
Tue Feb 15 2022,7:30p,Cleveland Cavaliers,116,Atlanta Hawks,124,Box Score,,15947,State Farm Arena,
Tue Feb 15 2022,7:30p,Dallas Mavericks,107,Miami Heat,99,Box Score,,19600,FTX Arena,
Tue Feb 15 2022,7:30p,Boston Celtics,135,Philadelphia 76ers,87,Box Score,,20960,Wells Fargo Center,
Tue Feb 15 2022,8:00p,Indiana Pacers,119,Milwaukee Bucks,128,Box Score,,17341,Fiserv Forum,
Tue Feb 15 2022,8:00p,Charlotte Hornets,120,Minnesota Timberwolves,126,Box Score,OT,17136,Target Center,
Tue Feb 15 2022,8:00p,Memphis Grizzlies,121,New Orleans Pelicans,109,Box Score,,15901,Smoothie King Center,
Tue Feb 15 2022,10:00p,Los Angeles Clippers,96,Phoenix Suns,103,Box Score,,17071,Phoenix Suns Arena,
Wed Feb 16 2022,7:00p,Atlanta Hawks,130,Orlando Magic,109,Box Score,,14398,Amway Center,
Wed Feb 16 2022,7:30p,Detroit Pistons,112,Boston Celtics,111,Box Score,,19156,TD Garden,
Wed Feb 16 2022,7:30p,Washington Wizards,108,Indiana Pacers,113,Box Score,,14540,Gainbridge Fieldhouse,
Wed Feb 16 2022,7:30p,Brooklyn Nets,111,New York Knicks,106,Box Score,,18916,Madison Square Garden (IV),
Wed Feb 16 2022,8:00p,Sacramento Kings,118,Chicago Bulls,125,Box Score,,19166,United Center,
Wed Feb 16 2022,8:00p,Portland Trail Blazers,123,Memphis Grizzlies,119,Box Score,,16834,FedEx Forum,
Wed Feb 16 2022,8:00p,Toronto Raptors,103,Minnesota Timberwolves,91,Box Score,,15982,Target Center,
Wed Feb 16 2022,8:00p,San Antonio Spurs,114,Oklahoma City Thunder,106,Box Score,,14920,Paycom Center,
Wed Feb 16 2022,9:00p,Houston Rockets,121,Phoenix Suns,124,Box Score,,17071,Phoenix Suns Arena,
Wed Feb 16 2022,10:00p,Denver Nuggets,117,Golden State Warriors,116,Box Score,,18064,Chase Center,
Wed Feb 16 2022,10:00p,Utah Jazz,101,Los Angeles Lakers,106,Box Score,,17787,Crypto.com Arena,
Thu Feb 17 2022,7:00p,Miami Heat,111,Charlotte Hornets,107,Box Score,2OT,17029,Spectrum Center,
Thu Feb 17 2022,7:30p,Washington Wizards,117,Brooklyn Nets,103,Box Score,,17477,Barclays Center,
Thu Feb 17 2022,8:00p,Dallas Mavericks,125,New Orleans Pelicans,118,Box Score,,15906,Smoothie King Center,
Thu Feb 17 2022,8:30p,Philadelphia 76ers,123,Milwaukee Bucks,120,Box Score,,17341,Fiserv Forum,
Thu Feb 17 2022,10:30p,Houston Rockets,111,Los Angeles Clippers,142,Box Score,,17519,Crypto.com Arena,
Thu Feb 24 2022,7:00p,Cleveland Cavaliers,103,Detroit Pistons,106,Box Score,,15622,Little Caesars Arena,
Thu Feb 24 2022,7:30p,Boston Celtics,129,Brooklyn Nets,106,Box Score,,17986,Barclays Center,
Thu Feb 24 2022,8:00p,Atlanta Hawks,108,Chicago Bulls,112,Box Score,,21236,United Center,
Thu Feb 24 2022,8:00p,Memphis Grizzlies,114,Minnesota Timberwolves,119,Box Score,,16326,Target Center,
Thu Feb 24 2022,8:00p,Phoenix Suns,124,Oklahoma City Thunder,104,Box Score,,14176,Paycom Center,
Thu Feb 24 2022,10:00p,Golden State Warriors,132,Portland Trail Blazers,95,Box Score,,20098,Moda Center,
Thu Feb 24 2022,10:00p,Denver Nuggets,128,Sacramento Kings,110,Box Score,,15855,Golden 1 Center,
Fri Feb 25 2022,7:00p,Toronto Raptors,93,Charlotte Hornets,125,Box Score,,17577,Spectrum Center,
Fri Feb 25 2022,7:00p,Oklahoma City Thunder,129,Indiana Pacers,125,Box Score,OT,15182,Gainbridge Fieldhouse,
Fri Feb 25 2022,7:00p,Houston Rockets,111,Orlando Magic,119,Box Score,,16631,Amway Center,
Fri Feb 25 2022,7:00p,San Antonio Spurs,157,Washington Wizards,153,Box Score,2OT,15302,Capital One Arena,
Fri Feb 25 2022,7:30p,Miami Heat,115,New York Knicks,100,Box Score,,19812,Madison Square Garden (IV),
Fri Feb 25 2022,8:00p,Philadelphia 76ers,133,Minnesota Timberwolves,102,Box Score,,16684,Target Center,
Fri Feb 25 2022,9:00p,New Orleans Pelicans,117,Phoenix Suns,102,Box Score,,17071,Phoenix Suns Arena,
Fri Feb 25 2022,9:00p,Dallas Mavericks,109,Utah Jazz,114,Box Score,,18306,Vivint Smart Home Arena,
Fri Feb 25 2022,10:00p,Los Angeles Clippers,105,Los Angeles Lakers,102,Box Score,,18997,Crypto.com Arena,
Sat Feb 26 2022,12:00p,Boston Celtics,113,Detroit Pistons,104,Box Score,,19122,Little Caesars Arena,
Sat Feb 26 2022,7:30p,Toronto Raptors,100,Atlanta Hawks,127,Box Score,,17870,State Farm Arena,
Sat Feb 26 2022,8:00p,Memphis Grizzlies,116,Chicago Bulls,110,Box Score,,21959,United Center,
Sat Feb 26 2022,8:00p,Washington Wizards,86,Cleveland Cavaliers,92,Box Score,,19432,Rocket Mortgage Fieldhouse,
Sat Feb 26 2022,8:00p,San Antonio Spurs,129,Miami Heat,133,Box Score,,19677,FTX Arena,
Sat Feb 26 2022,8:30p,Brooklyn Nets,126,Milwaukee Bucks,123,Box Score,,17341,Fiserv Forum,
Sat Feb 26 2022,9:00p,Sacramento Kings,110,Denver Nuggets,115,Box Score,,19520,Ball Arena,
Sun Feb 27 2022,1:00p,Philadelphia 76ers,125,New York Knicks,109,Box Score,,19812,Madison Square Garden (IV),
Sun Feb 27 2022,3:30p,Utah Jazz,118,Phoenix Suns,114,Box Score,,17071,Phoenix Suns Arena,
Sun Feb 27 2022,5:00p,Boston Celtics,107,Indiana Pacers,128,Box Score,,16872,Gainbridge Fieldhouse,
Sun Feb 27 2022,7:00p,Detroit Pistons,127,Charlotte Hornets,126,Box Score,OT,15348,Spectrum Center,
Sun Feb 27 2022,7:00p,Los Angeles Clippers,99,Houston Rockets,98,Box Score,,14324,Toyota Center,
Sun Feb 27 2022,7:30p,Dallas Mavericks,107,Golden State Warriors,101,Box Score,,18064,Chase Center,
Sun Feb 27 2022,9:00p,Denver Nuggets,124,Portland Trail Blazers,92,Box Score,,17771,Moda Center,
Sun Feb 27 2022,10:00p,New Orleans Pelicans,123,Los Angeles Lakers,95,Box Score,,17536,Crypto.com Arena,
Mon Feb 28 2022,7:00p,Minnesota Timberwolves,127,Cleveland Cavaliers,122,Box Score,,18421,Rocket Mortgage Fieldhouse,
Mon Feb 28 2022,7:00p,Indiana Pacers,103,Orlando Magic,119,Box Score,,13014,Amway Center,
Mon Feb 28 2022,7:30p,Toronto Raptors,133,Brooklyn Nets,97,Box Score,,17112,Barclays Center,
Mon Feb 28 2022,7:30p,Chicago Bulls,99,Miami Heat,112,Box Score,,19683,FTX Arena,
Mon Feb 28 2022,8:00p,San Antonio Spurs,105,Memphis Grizzlies,118,Box Score,,16812,FedEx Forum,
Mon Feb 28 2022,8:00p,Charlotte Hornets,106,Milwaukee Bucks,130,Box Score,,17341,Fiserv Forum,
Mon Feb 28 2022,8:00p,Sacramento Kings,131,Oklahoma City Thunder,110,Box Score,,13945,Paycom Center,
Tue Mar 1 2022,7:00p,Detroit Pistons,113,Washington Wizards,116,Box Score,,12122,Capital One Arena,
Tue Mar 1 2022,7:30p,Atlanta Hawks,98,Boston Celtics,107,Box Score,,19156,TD Garden,
Tue Mar 1 2022,7:30p,Brooklyn Nets,108,Toronto Raptors,109,Box Score,,18903,Scotiabank Arena,
Tue Mar 1 2022,8:00p,Los Angeles Clippers,113,Houston Rockets,100,Box Score,,12949,Toyota Center,
Tue Mar 1 2022,8:00p,Golden State Warriors,114,Minnesota Timberwolves,129,Box Score,,17136,Target Center,
Tue Mar 1 2022,10:00p,Dallas Mavericks,109,Los Angeles Lakers,104,Box Score,,17857,Crypto.com Arena,
Wed Mar 2 2022,7:00p,Charlotte Hornets,119,Cleveland Cavaliers,98,Box Score,,19019,Rocket Mortgage Fieldhouse,
Wed Mar 2 2022,7:00p,Indiana Pacers,122,Orlando Magic,114,Box Score,OT,11221,Amway Center,
Wed Mar 2 2022,7:30p,New York Knicks,108,Philadelphia 76ers,123,Box Score,,21333,Wells Fargo Center,
Wed Mar 2 2022,8:00p,Utah Jazz,132,Houston Rockets,127,Box Score,OT,13583,Toyota Center,
Wed Mar 2 2022,8:00p,Miami Heat,119,Milwaukee Bucks,120,Box Score,,17341,Fiserv Forum,
Wed Mar 2 2022,8:00p,Sacramento Kings,95,New Orleans Pelicans,125,Box Score,,15490,Smoothie King Center,
Wed Mar 2 2022,9:00p,Oklahoma City Thunder,119,Denver Nuggets,107,Box Score,,15167,Ball Arena,
Wed Mar 2 2022,10:00p,Portland Trail Blazers,90,Phoenix Suns,120,Box Score,,17071,Phoenix Suns Arena,
Thu Mar 3 2022,7:00p,Chicago Bulls,124,Atlanta Hawks,130,Box Score,,17522,State Farm Arena,
Thu Mar 3 2022,7:30p,Memphis Grizzlies,107,Boston Celtics,120,Box Score,,19156,TD Garden,
Thu Mar 3 2022,7:30p,Miami Heat,113,Brooklyn Nets,107,Box Score,,17732,Barclays Center,
Thu Mar 3 2022,7:30p,Detroit Pistons,108,Toronto Raptors,106,Box Score,,19548,Scotiabank Arena,
Thu Mar 3 2022,8:30p,Golden State Warriors,113,Dallas Mavericks,122,Box Score,,20229,American Airlines Center,
Thu Mar 3 2022,8:30p,Sacramento Kings,115,San Antonio Spurs,112,Box Score,,13049,AT&T Center,
Thu Mar 3 2022,10:00p,Los Angeles Lakers,111,Los Angeles Clippers,132,Box Score,,19068,Crypto.com Arena,
